epoch,train_loss,val_auc
1,0.6941155473391215,0.5955555555555555
2,0.6939516186714172,0.6488888888888888
3,0.6946650346120199,0.6844444444444444
4,0.6965087254842123,0.6888888888888889
5,0.6811726053555807,0.6933333333333334
6,0.6809994220733643,0.6888888888888889
7,0.6775472044944764,0.6933333333333334
8,0.674876606464386,0.6977777777777777
9,0.6655205925305684,0.6977777777777778
10,0.6695133248964945,0.6755555555555556
11,0.6611163338025411,0.6844444444444444
12,0.6606990536053975,0.6888888888888889
13,0.652870241800944,0.6933333333333334
14,0.6515853722890218,0.6799999999999999
15,0.6404642581939697,0.68
16,0.6389990131060282,0.6622222222222223
17,0.6432200988133748,0.6533333333333333
18,0.6267394741376241,0.6444444444444444
19,0.6346349199612935,0.6399999999999999
20,0.6226119875907898,0.6488888888888888
